rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
27,top-100-stars,Python-100-Days,136692,49245,Python,https://github.com/jackfrued/Python-100-Days,jackfrued,498,2023-04-24T03:43:56Z,Python - 100天从新手到大师
28,top-100-stars,awesome-selfhosted,135797,7755,Makefile,https://github.com/awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,41,2023-06-13T08:26:05Z,A list of Free Software network services and web applications which can be hosted on your own servers
29,top-100-stars,javascript,134881,25667,JavaScript,https://github.com/airbnb/javascript,airbnb,92,2023-06-04T21:56:41Z,JavaScript Style Guide
30,top-100-stars,JavaGuide,134453,44164,Java,https://github.com/Snailclimb/JavaGuide,Snailclimb,64,2023-06-13T07:48:16Z,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！
31,top-100-stars,youtube-dl,121032,9041,Python,https://github.com/ytdl-org/youtube-dl,ytdl-org,3823,2023-06-13T05:10:32Z,Command-line program to download videos from YouTube.com and other video sites
32,top-100-stars,fucking-algorithm,116474,22391,Markdown,https://github.com/labuladong/fucking-algorithm,labuladong,320,2023-06-11T22:35:34Z,"刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why. "
33,top-100-stars,30-seconds-of-code,112879,11583,JavaScript,https://github.com/30-seconds/30-seconds-of-code,30-seconds,0,2023-06-06T17:28:34Z,Short code snippets for all your development needs
34,top-100-stars,go,112099,16658,Go,https://github.com/golang/go,golang,8051,2023-06-13T03:07:54Z,The Go programming language
35,top-100-stars,react-native,110052,23365,Java,https://github.com/facebook/react-native,facebook,1640,2023-06-13T04:33:26Z,A framework for building native applications using React
36,top-100-stars,electron,107739,14721,C++,https://github.com/electron/electron,electron,815,2023-06-13T06:58:42Z,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS"
37,top-100-stars,next.js,107596,24075,JavaScript,https://github.com/vercel/next.js,vercel,1826,2023-06-13T08:50:22Z,The React Framework
38,top-100-stars,project-based-learning,106516,14855,,https://github.com/practical-tutorials/project-based-learning,practical-tutorials,17,2023-06-06T19:05:49Z,Curated list of project-based tutorials
39,top-100-stars,d3,105616,23328,Shell,https://github.com/d3/d3,d3,0,2023-06-12T19:35:49Z,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:"
40,top-100-stars,transformers,103718,20921,Python,https://github.com/huggingface/transformers,huggingface,585,2023-06-13T09:00:03Z,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX."
41,top-100-stars,awesome-go,103110,11012,Go,https://github.com/avelino/awesome-go,avelino,1,2023-06-13T02:44:14Z,"A curated list of awesome Go frameworks, libraries and software"
42,top-100-stars,free-programming-books-zh_CN,102898,27568,,https://github.com/justjavac/free-programming-books-zh_CN,justjavac,0,2023-06-07T08:13:23Z,:books: 免费的计算机编程类中文书籍，欢迎投稿
43,top-100-stars,axios,100550,10364,JavaScript,https://github.com/axios/axios,axios,393,2023-06-07T09:58:33Z,Promise based HTTP client for the browser and node.js
44,top-100-stars,create-react-app,100065,26409,JavaScript,https://github.com/facebook/create-react-app,facebook,1593,2023-06-12T11:50:27Z,Set up a modern web app by running one command.
45,top-100-stars,the-book-of-secret-knowledge,99945,7366,,https://github.com/trimstray/the-book-of-secret-knowledge,trimstray,0,2023-05-17T19:57:08Z,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more."
46,top-100-stars,kubernetes,99132,36365,Go,https://github.com/kubernetes/kubernetes,kubernetes,1686,2023-06-13T08:10:46Z,Production-Grade Container Scheduling and Management
47,top-100-stars,node,95933,26070,JavaScript,https://github.com/nodejs/node,nodejs,1278,2023-06-13T08:15:01Z,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:
48,top-100-stars,three.js,92583,34754,JavaScript,https://github.com/mrdoob/three.js,mrdoob,370,2023-06-12T21:41:57Z,JavaScript 3D Library.
49,top-100-stars,PowerToys,92131,5361,C#,https://github.com/microsoft/PowerToys,microsoft,5012,2023-06-12T14:44:10Z,Windows system utilities to maximize productivity
50,top-100-stars,TypeScript,91951,11819,TypeScript,https://github.com/microsoft/TypeScript,microsoft,5999,2023-06-13T07:48:08Z,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.
51,top-100-stars,tech-interview-handbook,91930,11943,TypeScript,https://github.com/yangshun/tech-interview-handbook,yangshun,16,2023-06-08T14:44:04Z,💯 Curated coding interview preparation materials for busy software engineers
52,top-100-stars,deno,89767,4881,Rust,https://github.com/denoland/deno,denoland,1266,2023-06-13T06:32:02Z,A modern runtime for JavaScript and TypeScript.
53,top-100-stars,nodebestpractices,89710,9279,Dockerfile,https://github.com/goldbergyoni/nodebestpractices,goldbergyoni,27,2023-06-11T13:57:23Z,:white_check_mark:  The Node.js best practices list (May 2023)
54,top-100-stars,terminal,89149,7823,C++,https://github.com/microsoft/terminal,microsoft,1462,2023-06-12T22:18:24Z,"The new Windows Terminal and the original Windows console host, all in the same place!"
55,top-100-stars,angular,88578,23719,TypeScript,https://github.com/angular/angular,angular,1248,2023-06-13T08:01:13Z,The modern web developer’s platform
56,top-100-stars,material-ui,87230,29851,TypeScript,https://github.com/mui/material-ui,mui,1288,2023-06-13T08:58:46Z,"MUI Core: Ready-to-use foundational React components, free forever. It includes Material UI, which implements Google's Material Design."
57,top-100-stars,ant-design,86264,40166,TypeScript,https://github.com/ant-design/ant-design,ant-design,907,2023-06-13T08:58:19Z,An enterprise-class UI design language and React UI library
58,top-100-stars,scrcpy,85656,8782,C,https://github.com/Genymobile/scrcpy,Genymobile,1365,2023-06-12T06:35:42Z,Display and control your Android device
59,top-100-stars,puppeteer,83595,8988,TypeScript,https://github.com/puppeteer/puppeteer,puppeteer,274,2023-06-13T08:43:18Z,Node.js API for Chrome 
60,top-100-stars,stable-diffusion-webui,83099,16090,Python,https://github.com/AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,1934,2023-06-13T04:14:04Z,Stable Diffusion web UI
61,top-100-stars,clean-code-javascript,82859,11235,JavaScript,https://github.com/ryanmcdermott/clean-code-javascript,ryanmcdermott,57,2023-06-01T18:48:51Z,:bathtub: Clean Code concepts adapted for JavaScript
62,top-100-stars,vue-element-admin,82722,29873,Vue,https://github.com/PanJiaChen/vue-element-admin,PanJiaChen,1195,2023-05-12T03:01:32Z,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin
63,top-100-stars,rust,82565,10905,Rust,https://github.com/rust-lang/rust,rust-lang,8952,2023-06-13T07:30:20Z,Empowering everyone to build reliable and efficient software.
64,top-100-stars,java-design-patterns,82400,25174,Java,https://github.com/iluwatar/java-design-patterns,iluwatar,187,2023-06-12T22:56:45Z,Design patterns implemented in Java
65,top-100-stars,awesome-chatgpt-prompts,79877,10311,HTML,https://github.com/f/awesome-chatgpt-prompts,f,0,2023-06-11T14:37:59Z,This repo includes ChatGPT prompt curation to use ChatGPT better.
66,top-100-stars,storybook,79086,8501,TypeScript,https://github.com/storybookjs/storybook,storybookjs,1592,2023-06-13T08:26:55Z,"Storybook is a frontend workshop for building UI components and pages in isolation. Made for UI development, testing, and documentation. "
67,top-100-stars,animate.css,77985,16464,CSS,https://github.com/animate-css/animate.css,animate-css,25,2023-06-11T09:40:09Z,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.
68,top-100-stars,thefuck,77785,3358,Python,https://github.com/nvbn/thefuck,nvbn,216,2023-06-03T14:17:08Z,Magnificent app which corrects your previous console command.
69,top-100-stars,models,75912,46274,Jupyter Notebook,https://github.com/tensorflow/models,tensorflow,1033,2023-06-13T05:36:11Z,Models and examples built with TensorFlow
70,top-100-stars,realworld,74745,6935,TypeScript,https://github.com/gothinkster/realworld,gothinkster,51,2023-06-12T17:13:12Z,"""The mother of all demo apps"" — Exemplary fullstack Medium.com clone powered by React, Angular, Node, Django, and many more"
71,top-100-stars,laravel,73710,23746,PHP,https://github.com/laravel/laravel,laravel,0,2023-06-11T22:52:37Z,"Laravel is a web application framework with expressive, elegant syntax. We’ve already laid the foundation for your next big idea — freeing you to create without sweating the small things."
72,top-100-stars,papers-we-love,73375,5314,Shell,https://github.com/papers-we-love/papers-we-love,papers-we-love,5,2023-05-14T19:09:35Z,Papers from the computer science community to read and discuss.
73,top-100-stars,LeetCodeAnimation,73248,13920,Java,https://github.com/MisterBooo/LeetCodeAnimation,MisterBooo,17,2023-03-21T01:33:14Z,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）
74,top-100-stars,Font-Awesome,71572,12416,JavaScript,https://github.com/FortAwesome/Font-Awesome,FortAwesome,5360,2023-05-01T10:39:19Z,"The iconic SVG, font, and CSS toolkit"
75,top-100-stars,every-programmer-should-know,71553,6827,,https://github.com/mtdvio/every-programmer-should-know,mtdvio,24,2023-04-13T23:43:39Z,A collection of (mostly) technical things every software developer should know about
76,top-100-stars,django,71384,29357,Python,https://github.com/django/django,django,0,2023-06-13T08:54:53Z,The Web framework for perfectionists with deadlines.
77,top-100-stars,Web-Dev-For-Beginners,70727,11095,JavaScript,https://github.com/microsoft/Web-Dev-For-Beginners,microsoft,13,2023-06-06T23:53:00Z,"24 Lessons, 12 Weeks, Get Started as a Web Developer"
78,top-100-stars,free-for-dev,70505,7681,HTML,https://github.com/ripienaar/free-for-dev,ripienaar,0,2023-06-11T15:52:01Z,"A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev"
79,top-100-stars,FiraCode,70502,2988,Clojure,https://github.com/tonsky/FiraCode,tonsky,360,2023-05-28T13:18:40Z,Free monospaced font with programming ligatures
80,top-100-stars,advanced-java,70431,18375,Java,https://github.com/doocs/advanced-java,doocs,3,2023-06-12T12:10:02Z,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识
81,top-100-stars,HelloGitHub,70010,9009,Python,https://github.com/521xueweihan/HelloGitHub,521xueweihan,100,2023-05-29T02:18:31Z,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub."
82,top-100-stars,bitcoin,69932,34417,C++,https://github.com/bitcoin/bitcoin,bitcoin,343,2023-06-13T08:43:57Z,Bitcoin Core integration/staging tree
83,top-100-stars,opencv,69404,55366,C++,https://github.com/opencv/opencv,opencv,2379,2023-06-13T08:43:47Z,Open Source Computer Vision Library
84,top-100-stars,gin,69374,7512,Go,https://github.com/gin-gonic/gin,gin-gonic,519,2023-06-12T22:57:18Z,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin."
85,top-100-stars,tailwindcss,69324,3574,HTML,https://github.com/tailwindlabs/tailwindcss,tailwindlabs,12,2023-06-12T20:07:08Z,A utility-first CSS framework for rapid UI development.
86,top-100-stars,awesome-vue,68791,9366,,https://github.com/vuejs/awesome-vue,vuejs,30,2023-06-10T10:00:00Z,🎉 A curated list of awesome things related to Vue.js
87,top-100-stars,svelte,68411,3348,TypeScript,https://github.com/sveltejs/svelte,sveltejs,784,2023-06-13T04:11:03Z,Cybernetically enhanced web apps
88,top-100-stars,frp,68344,11570,Go,https://github.com/fatedier/frp,fatedier,97,2023-06-04T12:11:18Z,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.
89,top-100-stars,spring-boot,67801,38790,Java,https://github.com/spring-projects/spring-boot,spring-projects,668,2023-06-13T08:21:17Z,Spring Boot
90,top-100-stars,pytorch,67778,18571,Python,https://github.com/pytorch/pytorch,pytorch,11336,2023-06-13T08:47:18Z,Tensors and Dynamic neural networks in Python with strong GPU acceleration
91,top-100-stars,nvm,67724,7266,Shell,https://github.com/nvm-sh/nvm,nvm-sh,325,2023-06-12T05:45:58Z,Node Version Manager - POSIX-compliant bash script to manage multiple active node.js versions
92,top-100-stars,hugo,67493,7222,Go,https://github.com/gohugoio/hugo,gohugoio,574,2023-06-13T08:58:18Z,The world’s fastest framework for building websites.
93,top-100-stars,json-server,67266,6619,JavaScript,https://github.com/typicode/json-server,typicode,575,2023-06-07T07:13:30Z,Get a full fake REST API with zero coding in less than 30 seconds (seriously)
94,top-100-stars,mall,66911,27003,Java,https://github.com/macrozheng/mall,macrozheng,27,2023-06-13T08:08:35Z,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于SpringBoot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。
95,top-100-stars,neovim,66627,4703,Vim Script,https://github.com/neovim/neovim,neovim,1395,2023-06-13T05:40:44Z,Vim-fork focused on extensibility and usability
96,top-100-stars,moby,66087,18705,Go,https://github.com/moby/moby,moby,3840,2023-06-13T08:46:18Z,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems
97,top-100-stars,Awesome-Hacking,65900,8549,,https://github.com/Hack-with-Github/Awesome-Hacking,Hack-with-Github,0,2023-05-04T11:58:09Z,"A collection of various awesome lists for hackers, pentesters and security researchers"
98,top-100-stars,Front-End-Checklist,65382,6271,,https://github.com/thedaviddias/Front-End-Checklist,thedaviddias,3,2023-05-28T10:00:20Z,🗂 The perfect Front-End Checklist for modern websites and meticulous developers
99,top-100-stars,iptv,65293,450,JavaScript,https://github.com/iptv-org/iptv,iptv-org,432,2023-06-13T08:29:23Z,Collection of publicly available IPTV channels from all over the world
100,top-100-stars,app-ideas,65133,8420,,https://github.com/florinpop17/app-ideas,florinpop17,77,2023-05-25T14:05:30Z,A Collection of application ideas which can be used to improve your coding skills.
1,top-100-forks,datasharing,6321,242934,,https://github.com/jtleek/datasharing,jtleek,301,2023-02-20T20:06:27Z,The Leek group guide to data sharing 
2,top-100-forks,ProgrammingAssignment2,790,142458,R,https://github.com/rdpeng/ProgrammingAssignment2,rdpeng,190,2023-06-08T00:05:30Z,Repository for Programming Assignment 2 for R Programming on Coursera
3,top-100-forks,Spoon-Knife,11731,136086,HTML,https://github.com/octocat/Spoon-Knife,octocat,1680,2023-06-12T22:29:57Z,This repo is for demonstration purposes only.
4,top-100-forks,SmartThingsPublic,2484,91147,Groovy,https://github.com/SmartThingsCommunity/SmartThingsPublic,SmartThingsCommunity,61,2023-06-12T19:56:54Z,SmartThings open-source DeviceType Handlers and SmartApps code
5,top-100-forks,tensorflow,175485,88446,C++,https://github.com/tensorflow/tensorflow,tensorflow,1940,2023-06-13T08:41:09Z,An Open Source Machine Learning Framework for Everyone
6,top-100-forks,gitignore,148832,84155,,https://github.com/github/gitignore,github,0,2023-06-12T00:32:42Z,A collection of useful .gitignore templates
7,top-100-forks,Complete-Python-3-Bootcamp,23939,79390,Jupyter Notebook,https://github.com/Pierian-Data/Complete-Python-3-Bootcamp,Pierian-Data,108,2023-06-11T14:02:07Z,Course Files for Complete Python 3 Bootcamp Course on Udemy
8,top-100-forks,bootstrap,164185,78546,JavaScript,https://github.com/twbs/bootstrap,twbs,300,2023-06-12T15:26:26Z,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
9,top-100-forks,cgm-remote-monitor,2110,69421,JavaScript,https://github.com/nightscout/cgm-remote-monitor,nightscout,160,2023-06-10T19:40:43Z,nightscout web monitor
10,top-100-forks,coding-interview-university,259470,68077,,https://github.com/jwasham/coding-interview-university,jwasham,44,2023-05-31T12:07:07Z,A complete computer science study plan to become a software engineer.
11,top-100-forks,first-contributions,34120,60853,,https://github.com/firstcontributions/first-contributions,firstcontributions,36,2023-06-13T07:57:43Z,🚀✨ Help beginners to contribute to open source projects
12,top-100-forks,docs,13809,60280,JavaScript,https://github.com/github/docs,github,91,2023-06-13T08:42:54Z,The open-source repo for docs.github.com
13,top-100-forks,ExData_Plotting1,235,56523,,https://github.com/rdpeng/ExData_Plotting1,rdpeng,76,2023-05-22T15:37:56Z,Plotting Assignment 1 for Exploratory Data Analysis
14,top-100-forks,free-programming-books,283318,55676,,https://github.com/EbookFoundation/free-programming-books,EbookFoundation,30,2023-06-12T21:47:41Z,:books: Freely available programming books
15,top-100-forks,opencv,69404,55366,C++,https://github.com/opencv/opencv,opencv,2379,2023-06-13T08:43:47Z,Open Source Computer Vision Library
16,top-100-forks,tutorials,34343,53752,Java,https://github.com/eugenp/tutorials,eugenp,24,2023-06-13T06:43:02Z,"Just Announced - ""Learn Spring Security OAuth"": "
17,top-100-forks,CS-Notes,164871,50246,,https://github.com/CyC2018/CS-Notes,CyC2018,122,2023-05-24T08:05:23Z,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
18,top-100-forks,Python-100-Days,136692,49245,Python,https://github.com/jackfrued/Python-100-Days,jackfrued,498,2023-04-24T03:43:56Z,Python - 100天从新手到大师
19,top-100-forks,linux,153088,48457,C,https://github.com/torvalds/linux,torvalds,0,2023-06-13T05:49:31Z,Linux kernel source tree
20,top-100-forks,models,75912,46274,Jupyter Notebook,https://github.com/tensorflow/models,tensorflow,1033,2023-06-13T05:36:11Z,Models and examples built with TensorFlow
21,top-100-forks,JavaGuide,134453,44164,Java,https://github.com/Snailclimb/JavaGuide,Snailclimb,64,2023-06-13T07:48:16Z,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！
22,top-100-forks,css-exercises,1041,43827,HTML,https://github.com/TheOdinProject/css-exercises,TheOdinProject,4,2023-06-13T08:21:56Z,
23,top-100-forks,react,208898,43635,JavaScript,https://github.com/facebook/react,facebook,989,2023-06-13T04:00:03Z,The library for web and native user interfaces
24,top-100-forks,DO180-apps,263,42474,JavaScript,https://github.com/RedHatTraining/DO180-apps,RedHatTraining,0,2023-06-12T20:16:03Z,DO180 Repository for Sample Applications
25,top-100-forks,Python,159780,40277,Python,https://github.com/TheAlgorithms/Python,TheAlgorithms,29,2023-06-12T22:09:46Z,All Algorithms implemented in Python
26,top-100-forks,ant-design,86264,40166,TypeScript,https://github.com/ant-design/ant-design,ant-design,907,2023-06-13T08:58:19Z,An enterprise-class UI design language and React UI library
27,top-100-forks,patchwork,1079,39397,Rich Text Format,https://github.com/jlord/patchwork,jlord,25,2023-06-13T05:19:32Z,All the Git-it Workshop completers! 
28,top-100-forks,system-design-primer,222068,39333,Python,https://github.com/donnemartin/system-design-primer,donnemartin,181,2023-05-25T17:32:33Z,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
29,top-100-forks,spring-boot,67801,38790,Java,https://github.com/spring-projects/spring-boot,spring-projects,668,2023-06-13T08:21:17Z,Spring Boot
30,top-100-forks,RepData_PeerAssessment1,97,37025,,https://github.com/rdpeng/RepData_PeerAssessment1,rdpeng,6,2023-06-04T14:00:57Z,Peer Assessment 1 for Reproducible Research
31,top-100-forks,kubernetes,99132,36365,Go,https://github.com/kubernetes/kubernetes,kubernetes,1686,2023-06-13T08:10:46Z,Production-Grade Container Scheduling and Management
32,top-100-forks,it-cert-automation-practice,685,36313,Python,https://github.com/google/it-cert-automation-practice,google,71,2023-06-13T07:54:20Z,Google IT Automation with Python Professional Certificate - Practice files
33,top-100-forks,spring-framework,52102,36272,Java,https://github.com/spring-projects/spring-framework,spring-projects,1252,2023-06-13T08:56:54Z,Spring Framework
34,top-100-forks,jekyll-now,8016,35082,CSS,https://github.com/barryclark/jekyll-now,barryclark,146,2023-06-13T06:20:52Z,"Build a Jekyll blog in minutes, without touching the command line."
35,top-100-forks,three.js,92583,34754,JavaScript,https://github.com/mrdoob/three.js,mrdoob,370,2023-06-12T21:41:57Z,JavaScript 3D Library.
36,top-100-forks,bitcoin,69932,34417,C++,https://github.com/bitcoin/bitcoin,bitcoin,343,2023-06-13T08:43:57Z,Bitcoin Core integration/staging tree
37,top-100-forks,developer-roadmap,241768,34061,TypeScript,https://github.com/kamranahmedse/developer-roadmap,kamranahmedse,335,2023-06-13T06:17:18Z,"Interactive roadmaps, guides and other educational content to help developers grow in their careers."
38,top-100-forks,vue,204048,33857,TypeScript,https://github.com/vuejs/vue,vuejs,372,2023-06-13T08:05:05Z,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core"
39,top-100-forks,JavaScript30,24530,33045,HTML,https://github.com/wesbos/JavaScript30,wesbos,0,2023-05-24T23:50:56Z,30 Day Vanilla JS Challenge
40,top-100-forks,You-Dont-Know-JS,168818,32655,,https://github.com/getify/You-Dont-Know-JS,getify,83,2023-06-10T06:51:55Z,A book series on JavaScript. @YDKJS on twitter.
41,top-100-forks,qmk_firmware,15261,32528,C,https://github.com/qmk/qmk_firmware,qmk,286,2023-06-13T08:20:47Z,Open-source keyboard firmware for Atmel AVR and Arm USB families
42,top-100-forks,freeCodeCamp,368553,32392,TypeScript,https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp,171,2023-06-13T07:36:07Z,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.
43,top-100-forks,courses,3971,31539,HTML,https://github.com/DataScienceSpecialization/courses,DataScienceSpecialization,26,2021-03-30T06:51:57Z,Course materials for the Data Science Specialization: https://www.coursera.org/specialization/jhudatascience/1
44,top-100-forks,vue-element-admin,82722,29873,Vue,https://github.com/PanJiaChen/vue-element-admin,PanJiaChen,1195,2023-05-12T03:01:32Z,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin
45,top-100-forks,material-ui,87230,29851,TypeScript,https://github.com/mui/material-ui,mui,1288,2023-06-13T08:58:46Z,"MUI Core: Ready-to-use foundational React components, free forever. It includes Material UI, which implements Google's Material Design."
46,top-100-forks,ChatGPT-Next-Web,31667,29738,TypeScript,https://github.com/Yidadaa/ChatGPT-Next-Web,Yidadaa,25,2023-06-13T02:20:38Z,One-Click to deploy well-designed ChatGPT web UI on Vercel. 一键拥有你自己的 ChatGPT 网页服务。
47,top-100-forks,Auto-GPT,139239,29377,Python,https://github.com/Significant-Gravitas/Auto-GPT,Significant-Gravitas,526,2023-06-13T08:16:43Z,An experimental open-source attempt to make GPT-4 fully autonomous.
48,top-100-forks,django,71384,29357,Python,https://github.com/django/django,django,0,2023-06-13T08:54:53Z,The Web framework for perfectionists with deadlines.
49,top-100-forks,DefinitelyTyped,44265,29132,TypeScript,https://github.com/DefinitelyTyped/DefinitelyTyped,DefinitelyTyped,685,2023-06-13T08:59:26Z,The repository for high quality TypeScript type definitions.
50,top-100-forks,academicpages.github.io,7949,28611,JavaScript,https://github.com/academicpages/academicpages.github.io,academicpages,164,2023-06-12T10:59:54Z,"Github Pages template for academic personal websites, forked from mmistakes/minimal-mistakes"
51,top-100-forks,angular.js,59153,28103,JavaScript,https://github.com/angular/angular.js,angular,391,2022-04-12T15:57:22Z,AngularJS - HTML enhanced for web apps!
