rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
27,top-100-stars,the-art-of-command-line,138021,13695,,https://github.com/jlevy/the-art-of-command-line,jlevy,107,2023-07-20T15:08:32Z,"Master the command line, in one page"
28,top-100-stars,Python-100-Days,137972,49477,Python,https://github.com/jackfrued/Python-100-Days,jackfrued,502,2023-07-01T20:55:17Z,Python - 100天从新手到大师
29,top-100-stars,javascript,135582,25894,JavaScript,https://github.com/airbnb/javascript,airbnb,92,2023-07-25T12:47:31Z,JavaScript Style Guide
30,top-100-stars,JavaGuide,135575,44520,Java,https://github.com/Snailclimb/JavaGuide,Snailclimb,60,2023-07-26T07:03:58Z,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！
31,top-100-stars,youtube-dl,121874,9133,Python,https://github.com/ytdl-org/youtube-dl,ytdl-org,3836,2023-07-25T14:11:42Z,Command-line program to download videos from YouTube.com and other video sites
32,top-100-stars,fucking-algorithm,117212,22485,Markdown,https://github.com/labuladong/fucking-algorithm,labuladong,329,2023-07-25T02:15:48Z,"刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why. "
33,top-100-stars,30-seconds-of-code,114227,11780,JavaScript,https://github.com/30-seconds/30-seconds-of-code,30-seconds,2,2023-07-24T15:24:04Z,Short code snippets for all your development needs
34,top-100-stars,go,113040,16882,Go,https://github.com/golang/go,golang,8175,2023-07-26T08:10:11Z,The Go programming language
35,top-100-stars,project-based-learning,111680,15660,,https://github.com/practical-tutorials/project-based-learning,practical-tutorials,21,2023-07-23T07:39:31Z,Curated list of project-based tutorials
36,top-100-stars,react-native,110901,23627,Java,https://github.com/facebook/react-native,facebook,1542,2023-07-26T08:28:40Z,A framework for building native applications using React
37,top-100-stars,next.js,109480,24437,JavaScript,https://github.com/vercel/next.js,vercel,1988,2023-07-26T08:57:36Z,The React Framework
38,top-100-stars,transformers,108929,21601,Python,https://github.com/huggingface/transformers,huggingface,580,2023-07-26T09:00:01Z,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX."
39,top-100-stars,electron,108352,14860,C++,https://github.com/electron/electron,electron,816,2023-07-26T08:57:47Z,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS"
40,top-100-stars,d3,105911,23338,Shell,https://github.com/d3/d3,d3,5,2023-07-13T13:40:14Z,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:"
41,top-100-stars,awesome-go,105318,11107,Go,https://github.com/avelino/awesome-go,avelino,2,2023-07-26T02:26:22Z,"A curated list of awesome Go frameworks, libraries and software"
42,top-100-stars,free-programming-books-zh_CN,103857,27695,,https://github.com/justjavac/free-programming-books-zh_CN,justjavac,0,2023-07-14T21:39:45Z,:books: 免费的计算机编程类中文书籍，欢迎投稿
43,top-100-stars,the-book-of-secret-knowledge,102918,7478,,https://github.com/trimstray/the-book-of-secret-knowledge,trimstray,0,2023-07-05T14:31:15Z,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more."
44,top-100-stars,axios,101033,10426,JavaScript,https://github.com/axios/axios,axios,418,2023-07-25T09:07:07Z,Promise based HTTP client for the browser and node.js
45,top-100-stars,create-react-app,100401,26551,JavaScript,https://github.com/facebook/create-react-app,facebook,1621,2023-07-24T10:37:21Z,Set up a modern web app by running one command.
46,top-100-stars,kubernetes,100364,37392,Go,https://github.com/kubernetes/kubernetes,kubernetes,1725,2023-07-26T08:54:37Z,Production-Grade Container Scheduling and Management
47,top-100-stars,node,96745,26385,JavaScript,https://github.com/nodejs/node,nodejs,1326,2023-07-26T08:57:53Z,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:
48,top-100-stars,three.js,93435,34868,JavaScript,https://github.com/mrdoob/three.js,mrdoob,368,2023-07-26T08:38:57Z,JavaScript 3D Library.
49,top-100-stars,tech-interview-handbook,93307,12091,TypeScript,https://github.com/yangshun/tech-interview-handbook,yangshun,16,2023-07-19T11:22:22Z,💯 Curated coding interview preparation materials for busy software engineers
50,top-100-stars,PowerToys,93298,5468,C#,https://github.com/microsoft/PowerToys,microsoft,5171,2023-07-25T21:37:50Z,Windows system utilities to maximize productivity
51,top-100-stars,stable-diffusion-webui,93010,18429,Python,https://github.com/AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,2089,2023-07-26T08:53:02Z,Stable Diffusion web UI
52,top-100-stars,TypeScript,92917,11996,TypeScript,https://github.com/microsoft/TypeScript,microsoft,5581,2023-07-26T06:23:24Z,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.
53,top-100-stars,nodebestpractices,90759,9423,Dockerfile,https://github.com/goldbergyoni/nodebestpractices,goldbergyoni,30,2023-07-25T16:26:06Z,:white_check_mark:  The Node.js best practices list (July 2023)
54,top-100-stars,deno,90189,4942,Rust,https://github.com/denoland/deno,denoland,1372,2023-07-26T02:54:16Z,A modern runtime for JavaScript and TypeScript.
55,top-100-stars,terminal,89676,7952,C++,https://github.com/microsoft/terminal,microsoft,1476,2023-07-25T22:34:48Z,"The new Windows Terminal and the original Windows console host, all in the same place!"
56,top-100-stars,angular,89367,23970,TypeScript,https://github.com/angular/angular,angular,1252,2023-07-26T04:55:56Z,The modern web developer’s platform
57,top-100-stars,scrcpy,88368,9012,C,https://github.com/Genymobile/scrcpy,Genymobile,1416,2023-07-18T16:10:08Z,Display and control your Android device
58,top-100-stars,material-ui,87851,29984,TypeScript,https://github.com/mui/material-ui,mui,1344,2023-07-26T08:49:13Z,"MUI Core: Ready-to-use foundational React components, free forever. It includes Material UI, which implements Google's Material Design."
59,top-100-stars,ant-design,86871,40711,TypeScript,https://github.com/ant-design/ant-design,ant-design,917,2023-07-26T08:57:47Z,An enterprise-class UI design language and React UI library
60,top-100-stars,awesome-chatgpt-prompts,84664,11335,HTML,https://github.com/f/awesome-chatgpt-prompts,f,0,2023-07-25T11:47:48Z,This repo includes ChatGPT prompt curation to use ChatGPT better.
61,top-100-stars,clean-code-javascript,84157,11423,JavaScript,https://github.com/ryanmcdermott/clean-code-javascript,ryanmcdermott,66,2023-07-26T04:11:12Z,:bathtub: Clean Code concepts adapted for JavaScript
62,top-100-stars,puppeteer,84035,9044,TypeScript,https://github.com/puppeteer/puppeteer,puppeteer,291,2023-07-26T06:27:47Z,Node.js API for Chrome 
63,top-100-stars,rust,83813,11137,Rust,https://github.com/rust-lang/rust,rust-lang,8995,2023-07-26T08:59:04Z,Empowering everyone to build reliable and efficient software.
64,top-100-stars,vue-element-admin,83310,30032,Vue,https://github.com/PanJiaChen/vue-element-admin,PanJiaChen,1199,2023-07-24T02:57:41Z,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin
65,top-100-stars,java-design-patterns,82962,25309,Java,https://github.com/iluwatar/java-design-patterns,iluwatar,187,2023-07-24T22:18:50Z,Design patterns implemented in Java
66,top-100-stars,storybook,79525,8577,TypeScript,https://github.com/storybookjs/storybook,storybookjs,1583,2023-07-26T03:14:07Z,"Storybook is a frontend workshop for building UI components and pages in isolation. Made for UI development, testing, and documentation. "
67,top-100-stars,thefuck,78685,3394,Python,https://github.com/nvbn/thefuck,nvbn,220,2023-07-11T16:30:29Z,Magnificent app which corrects your previous console command.
68,top-100-stars,animate.css,78254,16523,CSS,https://github.com/animate-css/animate.css,animate-css,24,2023-07-17T03:46:36Z,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.
69,top-100-stars,models,76013,46261,Jupyter Notebook,https://github.com/tensorflow/models,tensorflow,1042,2023-07-25T22:38:42Z,Models and examples built with TensorFlow
70,top-100-stars,realworld,75451,6993,TypeScript,https://github.com/gothinkster/realworld,gothinkster,52,2023-07-24T16:28:45Z,"""The mother of all demo apps"" — Exemplary fullstack Medium.com clone powered by React, Angular, Node, Django, and many more"
71,top-100-stars,papers-we-love,75230,5609,Shell,https://github.com/papers-we-love/papers-we-love,papers-we-love,10,2023-07-22T10:39:10Z,Papers from the computer science community to read and discuss.
72,top-100-stars,laravel,74133,23849,PHP,https://github.com/laravel/laravel,laravel,0,2023-07-23T09:41:52Z,"Laravel is a web application framework with expressive, elegant syntax. We’ve already laid the foundation for your next big idea — freeing you to create without sweating the small things."
73,top-100-stars,LeetCodeAnimation,73433,13928,Java,https://github.com/MisterBooo/LeetCodeAnimation,MisterBooo,17,2023-03-21T01:33:14Z,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）
74,top-100-stars,Web-Dev-For-Beginners,72844,11427,JavaScript,https://github.com/microsoft/Web-Dev-For-Beginners,microsoft,16,2023-07-24T18:35:17Z,"24 Lessons, 12 Weeks, Get Started as a Web Developer"
75,top-100-stars,django,72127,29602,Python,https://github.com/django/django,django,0,2023-07-26T06:59:23Z,The Web framework for perfectionists with deadlines.
76,top-100-stars,every-programmer-should-know,72044,6884,,https://github.com/mtdvio/every-programmer-should-know,mtdvio,24,2023-07-15T01:02:59Z,A collection of (mostly) technical things every software developer should know about
77,top-100-stars,Font-Awesome,71767,12421,JavaScript,https://github.com/FortAwesome/Font-Awesome,FortAwesome,5390,2023-07-14T04:58:53Z,"The iconic SVG, font, and CSS toolkit"
78,top-100-stars,free-for-dev,71693,7849,HTML,https://github.com/ripienaar/free-for-dev,ripienaar,0,2023-07-25T07:53:15Z,"A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev"
79,top-100-stars,FiraCode,71500,3016,Clojure,https://github.com/tonsky/FiraCode,tonsky,360,2023-06-19T17:28:31Z,Free monospaced font with programming ligatures
80,top-100-stars,HelloGitHub,71486,9083,Python,https://github.com/521xueweihan/HelloGitHub,521xueweihan,106,2023-07-20T14:14:13Z,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub."
81,top-100-stars,svelte,71386,3959,JavaScript,https://github.com/sveltejs/svelte,sveltejs,796,2023-07-25T21:49:16Z,Cybernetically enhanced web apps
82,top-100-stars,advanced-java,70990,18481,Java,https://github.com/doocs/advanced-java,doocs,3,2023-07-21T12:08:43Z,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识
83,top-100-stars,tailwindcss,70595,3636,HTML,https://github.com/tailwindlabs/tailwindcss,tailwindlabs,10,2023-07-25T11:26:38Z,A utility-first CSS framework for rapid UI development.
84,top-100-stars,bitcoin,70527,35442,C++,https://github.com/bitcoin/bitcoin,bitcoin,353,2023-07-26T08:58:37Z,Bitcoin Core integration/staging tree
85,top-100-stars,gin,70305,7598,Go,https://github.com/gin-gonic/gin,gin-gonic,532,2023-07-24T15:28:43Z,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin."
86,top-100-stars,opencv,70265,55513,C++,https://github.com/opencv/opencv,opencv,2362,2023-07-26T08:49:53Z,Open Source Computer Vision Library
87,top-100-stars,frp,69629,11715,Go,https://github.com/fatedier/frp,fatedier,86,2023-07-25T13:35:52Z,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.
88,top-100-stars,pytorch,69199,18936,Python,https://github.com/pytorch/pytorch,pytorch,11487,2023-07-26T08:55:34Z,Tensors and Dynamic neural networks in Python with strong GPU acceleration
89,top-100-stars,awesome-vue,69133,9410,,https://github.com/vuejs/awesome-vue,vuejs,30,2023-07-24T21:14:18Z,🎉 A curated list of awesome things related to Vue.js
90,top-100-stars,nvm,68748,7355,Shell,https://github.com/nvm-sh/nvm,nvm-sh,331,2023-07-25T01:33:44Z,Node Version Manager - POSIX-compliant bash script to manage multiple active node.js versions
91,top-100-stars,spring-boot,68517,39083,Java,https://github.com/spring-projects/spring-boot,spring-projects,629,2023-07-26T08:25:46Z,Spring Boot
92,top-100-stars,mall,68235,27266,Java,https://github.com/macrozheng/mall,macrozheng,24,2023-07-26T06:53:35Z,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于SpringBoot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。
93,top-100-stars,hugo,68196,7281,Go,https://github.com/gohugoio/hugo,gohugoio,576,2023-07-25T09:03:27Z,The world’s fastest framework for building websites.
94,top-100-stars,json-server,67822,6686,JavaScript,https://github.com/typicode/json-server,typicode,576,2023-07-23T09:22:07Z,Get a full fake REST API with zero coding in less than 30 seconds (seriously)
95,top-100-stars,neovim,67731,4788,Vim Script,https://github.com/neovim/neovim,neovim,1390,2023-07-26T08:50:55Z,Vim-fork focused on extensibility and usability
96,top-100-stars,Awesome-Hacking,67310,8602,,https://github.com/Hack-with-Github/Awesome-Hacking,Hack-with-Github,0,2023-07-18T13:50:05Z,"A collection of various awesome lists for hackers, pentesters and security researchers"
97,top-100-stars,tauri,66886,1909,Rust,https://github.com/tauri-apps/tauri,tauri-apps,472,2023-07-26T03:41:36Z,"Build smaller, faster, and more secure desktop applications with a web frontend."
98,top-100-stars,moby,66323,18790,Go,https://github.com/moby/moby,moby,3793,2023-07-26T00:27:09Z,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems
99,top-100-stars,iptv,66253,574,JavaScript,https://github.com/iptv-org/iptv,iptv-org,409,2023-07-26T06:05:40Z,Collection of publicly available IPTV channels from all over the world
100,top-100-stars,app-ideas,66002,8458,,https://github.com/florinpop17/app-ideas,florinpop17,77,2023-05-25T14:05:30Z,A Collection of application ideas which can be used to improve your coding skills.
1,top-100-forks,datasharing,6345,243103,,https://github.com/jtleek/datasharing,jtleek,301,2023-07-06T18:19:57Z,The Leek group guide to data sharing 
2,top-100-forks,ProgrammingAssignment2,794,142589,R,https://github.com/rdpeng/ProgrammingAssignment2,rdpeng,191,2023-07-23T21:08:01Z,Repository for Programming Assignment 2 for R Programming on Coursera
3,top-100-forks,Spoon-Knife,11790,137076,HTML,https://github.com/octocat/Spoon-Knife,octocat,1701,2023-07-26T06:32:21Z,This repo is for demonstration purposes only.
4,top-100-forks,SmartThingsPublic,2485,91073,Groovy,https://github.com/SmartThingsCommunity/SmartThingsPublic,SmartThingsCommunity,61,2023-07-18T18:42:27Z,SmartThings open-source DeviceType Handlers and SmartApps code
5,top-100-forks,tensorflow,176420,88718,C++,https://github.com/tensorflow/tensorflow,tensorflow,1945,2023-07-26T08:55:19Z,An Open Source Machine Learning Framework for Everyone
6,top-100-forks,gitignore,150017,84165,,https://github.com/github/gitignore,github,0,2023-07-21T12:20:55Z,A collection of useful .gitignore templates
7,top-100-forks,Complete-Python-3-Bootcamp,24297,80163,Jupyter Notebook,https://github.com/Pierian-Data/Complete-Python-3-Bootcamp,Pierian-Data,115,2023-07-16T04:51:55Z,Course Files for Complete Python 3 Bootcamp Course on Udemy
8,top-100-forks,bootstrap,164714,78692,JavaScript,https://github.com/twbs/bootstrap,twbs,315,2023-07-26T08:03:02Z,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
9,top-100-forks,cgm-remote-monitor,2135,69792,JavaScript,https://github.com/nightscout/cgm-remote-monitor,nightscout,166,2023-07-09T09:13:01Z,nightscout web monitor
10,top-100-forks,coding-interview-university,261805,68670,,https://github.com/jwasham/coding-interview-university,jwasham,44,2023-07-19T02:53:35Z,A complete computer science study plan to become a software engineer.
11,top-100-forks,first-contributions,35427,62662,,https://github.com/firstcontributions/first-contributions,firstcontributions,29,2023-07-26T07:40:56Z,🚀✨ Help beginners to contribute to open source projects
12,top-100-forks,docs,14119,60817,JavaScript,https://github.com/github/docs,github,90,2023-07-26T02:37:59Z,The open-source repo for docs.github.com
13,top-100-forks,free-programming-books,293853,56726,,https://github.com/EbookFoundation/free-programming-books,EbookFoundation,36,2023-07-25T21:05:42Z,:books: Freely available programming books
14,top-100-forks,ExData_Plotting1,239,56532,,https://github.com/rdpeng/ExData_Plotting1,rdpeng,76,2023-05-22T15:37:56Z,Plotting Assignment 1 for Exploratory Data Analysis
15,top-100-forks,opencv,70265,55513,C++,https://github.com/opencv/opencv,opencv,2362,2023-07-26T08:49:53Z,Open Source Computer Vision Library
16,top-100-forks,tutorials,34596,53917,Java,https://github.com/eugenp/tutorials,eugenp,21,2023-07-26T08:15:38Z,"Just Announced - ""Learn Spring Security OAuth"": "
17,top-100-forks,CS-Notes,165712,50393,,https://github.com/CyC2018/CS-Notes,CyC2018,124,2023-07-21T02:41:14Z,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
18,top-100-forks,Python-100-Days,137972,49477,Python,https://github.com/jackfrued/Python-100-Days,jackfrued,502,2023-07-01T20:55:17Z,Python - 100天从新手到大师
19,top-100-forks,linux,154929,49110,C,https://github.com/torvalds/linux,torvalds,0,2023-07-25T22:37:36Z,Linux kernel source tree
20,top-100-forks,css-exercises,1117,46794,HTML,https://github.com/TheOdinProject/css-exercises,TheOdinProject,4,2023-07-21T10:17:40Z,
21,top-100-forks,models,76013,46261,Jupyter Notebook,https://github.com/tensorflow/models,tensorflow,1042,2023-07-25T22:38:42Z,Models and examples built with TensorFlow
22,top-100-forks,JavaGuide,135575,44520,Java,https://github.com/Snailclimb/JavaGuide,Snailclimb,60,2023-07-26T07:03:58Z,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！
23,top-100-forks,react,210860,44187,JavaScript,https://github.com/facebook/react,facebook,1037,2023-07-25T18:02:02Z,The library for web and native user interfaces
24,top-100-forks,DO180-apps,264,42637,JavaScript,https://github.com/RedHatTraining/DO180-apps,RedHatTraining,0,2023-07-20T07:51:02Z,DO180 Repository for Sample Applications
25,top-100-forks,Python,161291,40834,Python,https://github.com/TheAlgorithms/Python,TheAlgorithms,32,2023-07-26T07:02:50Z,All Algorithms implemented in Python
26,top-100-forks,ant-design,86871,40711,TypeScript,https://github.com/ant-design/ant-design,ant-design,917,2023-07-26T08:57:47Z,An enterprise-class UI design language and React UI library
27,top-100-forks,system-design-primer,225588,39935,Python,https://github.com/donnemartin/system-design-primer,donnemartin,181,2023-07-11T07:48:58Z,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
28,top-100-forks,patchwork,1082,39551,Rich Text Format,https://github.com/jlord/patchwork,jlord,25,2023-07-25T19:16:12Z,All the Git-it Workshop completers! 
29,top-100-forks,spring-boot,68517,39083,Java,https://github.com/spring-projects/spring-boot,spring-projects,629,2023-07-26T08:25:46Z,Spring Boot
30,top-100-forks,it-cert-automation-practice,706,37562,Python,https://github.com/google/it-cert-automation-practice,google,76,2023-07-26T08:59:50Z,Google IT Automation with Python Professional Certificate - Practice files
31,top-100-forks,kubernetes,100364,37392,Go,https://github.com/kubernetes/kubernetes,kubernetes,1725,2023-07-26T08:54:37Z,Production-Grade Container Scheduling and Management
32,top-100-forks,RepData_PeerAssessment1,97,37034,,https://github.com/rdpeng/RepData_PeerAssessment1,rdpeng,6,2023-06-17T15:34:24Z,Peer Assessment 1 for Reproducible Research
33,top-100-forks,spring-framework,52545,36472,Java,https://github.com/spring-projects/spring-framework,spring-projects,1169,2023-07-26T07:20:36Z,Spring Framework
34,top-100-forks,ChatGPT-Next-Web,37714,35657,TypeScript,https://github.com/Yidadaa/ChatGPT-Next-Web,Yidadaa,25,2023-07-26T06:32:17Z,A well-designed cross-platform ChatGPT UI (Web / PWA / Linux / Win / MacOS). 一键拥有你自己的跨平台 ChatGPT 应用。
35,top-100-forks,bitcoin,70527,35442,C++,https://github.com/bitcoin/bitcoin,bitcoin,353,2023-07-26T08:58:37Z,Bitcoin Core integration/staging tree
36,top-100-forks,jekyll-now,8022,35203,CSS,https://github.com/barryclark/jekyll-now,barryclark,146,2023-07-25T10:52:17Z,"Build a Jekyll blog in minutes, without touching the command line."
37,top-100-forks,three.js,93435,34868,JavaScript,https://github.com/mrdoob/three.js,mrdoob,368,2023-07-26T08:38:57Z,JavaScript 3D Library.
38,top-100-forks,developer-roadmap,245367,34394,TypeScript,https://github.com/kamranahmedse/developer-roadmap,kamranahmedse,421,2023-07-25T20:44:21Z,"Interactive roadmaps, guides and other educational content to help developers grow in their careers."
39,top-100-forks,vue,204559,34138,TypeScript,https://github.com/vuejs/vue,vuejs,377,2023-07-22T14:46:47Z,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core"
40,top-100-forks,JavaScript30,24911,33900,HTML,https://github.com/wesbos/JavaScript30,wesbos,0,2023-07-21T19:25:56Z,30 Day Vanilla JS Challenge
41,top-100-forks,qmk_firmware,15511,33084,C,https://github.com/qmk/qmk_firmware,qmk,285,2023-07-26T08:57:04Z,Open-source keyboard firmware for Atmel AVR and Arm USB families
42,top-100-forks,freeCodeCamp,370302,32964,TypeScript,https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp,178,2023-07-26T08:57:37Z,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.
43,top-100-forks,You-Dont-Know-JS,169997,32846,,https://github.com/getify/You-Dont-Know-JS,getify,81,2023-07-18T21:51:23Z,A book series on JavaScript. @YDKJS on twitter.
44,top-100-forks,courses,3977,31528,HTML,https://github.com/DataScienceSpecialization/courses,DataScienceSpecialization,26,2021-03-30T06:51:57Z,Course materials for the Data Science Specialization: https://www.coursera.org/specialization/jhudatascience/1
45,top-100-forks,Auto-GPT,144891,31301,Python,https://github.com/Significant-Gravitas/Auto-GPT,Significant-Gravitas,591,2023-07-26T08:42:08Z,An experimental open-source attempt to make GPT-4 fully autonomous.
46,top-100-forks,academicpages.github.io,8390,30079,JavaScript,https://github.com/academicpages/academicpages.github.io,academicpages,168,2023-07-26T01:36:08Z,"Github Pages template for academic personal websites, forked from mmistakes/minimal-mistakes"
47,top-100-forks,vue-element-admin,83310,30032,Vue,https://github.com/PanJiaChen/vue-element-admin,PanJiaChen,1199,2023-07-24T02:57:41Z,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin
48,top-100-forks,material-ui,87851,29984,TypeScript,https://github.com/mui/material-ui,mui,1344,2023-07-26T08:49:13Z,"MUI Core: Ready-to-use foundational React components, free forever. It includes Material UI, which implements Google's Material Design."
49,top-100-forks,django,72127,29602,Python,https://github.com/django/django,django,0,2023-07-26T06:59:23Z,The Web framework for perfectionists with deadlines.
50,top-100-forks,DefinitelyTyped,44721,29325,TypeScript,https://github.com/DefinitelyTyped/DefinitelyTyped,DefinitelyTyped,691,2023-07-26T07:37:27Z,The repository for high quality TypeScript type definitions.
51,top-100-forks,public-apis,249181,28654,Python,https://github.com/public-apis/public-apis,public-apis,26,2023-07-25T00:04:31Z,A collective list of free APIs
